Account,date,daily PnL per trader,Avg Trade Size,Num of Trades,win rate,Long Ratio,Short Ratio,classification,value
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,5089.718248587571,177,0.3596123624934521,0.0,1.0,Extreme Greed,76
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,7976.664411764705,68,0.3596123624934521,0.0,1.0,Extreme Greed,90
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,23734.5,40,0.3596123624934521,0.0,1.0,Extreme Greed,83
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,28186.666666666668,12,0.3596123624934521,1.0,0.0,Extreme Greed,94
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,17248.14814814815,27,0.3596123624934521,0.4444444444444444,0.5555555555555556,Extreme Greed,79
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,16058.536341463414,82,0.3596123624934521,1.0,0.0,Extreme Greed,77
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,48561.68565217392,23,0.3596123624934521,0.0,1.0,Extreme Greed,84
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,36736.36242424243,33,0.3596123624934521,1.0,0.0,Greed,72
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,11410.954021505377,465,0.3596123624934521,0.24086021505376345,0.7591397849462366,Extreme Greed,77
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,9400.588039215687,51,0.3596123624934521,0.5490196078431373,0.45098039215686275,Extreme Greed,76
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,185847.0,10,0.3596123624934521,0.9,0.1,Greed,60
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,23593.019856972587,839,0.3596123624934521,0.4171632896305125,0.5828367103694875,Fear,44
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,10576.687156308852,531,0.3596123624934521,0.20903954802259886,0.7909604519774012,Greed,72
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,26585.06338095238,210,0.3596123624934521,0.37142857142857144,0.6285714285714286,Neutral,54
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,10161.056241134751,141,0.3596123624934521,0.9361702127659575,0.06382978723404255,Neutral,46
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,32032.5,48,0.3596123624934521,0.3333333333333333,0.6666666666666666,Fear,43
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,134600.00166666668,6,0.3596123624934521,0.0,1.0,Neutral,47
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,27178.041694915253,59,0.3596123624934521,0.5254237288135594,0.4745762711864407,Neutral,49
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,13233.776894977169,219,0.3596123624934521,0.4246575342465753,0.5753424657534246,Fear,25
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,24958.908545454546,55,0.3596123624934521,0.01818181818181818,0.9818181818181818,Extreme Fear,16
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,2985.797555555556,45,0.3596123624934521,0.8,0.2,Extreme Fear,20
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,8371.136099843994,641,0.3596123624934521,0.8424336973478939,0.15756630265210608,Fear,33
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,79640.0,5,0.3596123624934521,0.8,0.2,Neutral,45
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,21491.640322580646,31,0.3596123624934521,1.0,0.0,Fear,43
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,2469.9509090909087,55,0.4427197802197802,0.14545454545454545,0.8545454545454545,Extreme Greed,84
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,0.06,1,0.4427197802197802,0.0,1.0,Extreme Greed,81
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,1426.8700000000001,34,0.4427197802197802,1.0,0.0,Greed,72
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,2001.101153846154,26,0.4427197802197802,0.0,1.0,Extreme Greed,75
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,1131.888695652174,46,0.4427197802197802,1.0,0.0,Extreme Greed,78
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,852.88625,64,0.4427197802197802,0.0,1.0,Extreme Greed,78
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,1913.523898305085,59,0.4427197802197802,0.7457627118644068,0.2542372881355932,Extreme Greed,81
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,0.11,1,0.4427197802197802,0.0,1.0,Extreme Greed,75
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,10051.199411764705,34,0.4427197802197802,0.38235294117647056,0.6176470588235294,Greed,74
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,2845.9646153846156,13,0.4427197802197802,1.0,0.0,Greed,61
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,2440.6282352941175,17,0.4427197802197802,0.0,1.0,Extreme Greed,75
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,2154.3915384615384,39,0.4427197802197802,0.2564102564102564,0.7435897435897436,Extreme Greed,77
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,2194.294758064516,124,0.4427197802197802,0.3467741935483871,0.6532258064516129,Extreme Greed,77
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,1737.369557522124,339,0.4427197802197802,0.415929203539823,0.584070796460177,Extreme Greed,75
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,2398.331666666667,54,0.4427197802197802,0.9259259259259259,0.07407407407407407,Extreme Greed,75
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,1519.465681818182,44,0.4427197802197802,1.0,0.0,Greed,71
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,1317.0667857142857,56,0.4427197802197802,0.0,1.0,Greed,72
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,1602.9452173913044,46,0.4427197802197802,1.0,0.0,Greed,72
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,1474.6896363636365,55,0.4427197802197802,0.0,1.0,Greed,70
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,2094.719358974359,78,0.4427197802197802,0.6794871794871795,0.32051282051282054,Greed,68
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,2792.42166344294,517,0.4427197802197802,0.5222437137330754,0.47775628626692457,Greed,60
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,612.1092741935485,124,0.4427197802197802,0.0,1.0,Neutral,47
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,2687.4032704402516,159,0.4427197802197802,0.1949685534591195,0.8050314465408805,Neutral,46
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,1641.2224999999999,160,0.4427197802197802,0.675,0.325,Neutral,49
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,82910.81,1,0.4427197802197802,0.0,1.0,Fear,25
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,1462.824423076923,52,0.4427197802197802,1.0,0.0,Extreme Fear,16
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,1999.099181818182,110,0.4427197802197802,0.5454545454545454,0.45454545454545453,Fear,33
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3169.3554679999997,1756.5103076923076,65,0.4427197802197802,0.8461538461538461,0.15384615384615385,Extreme Fear,15
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,0.0,1499.4978378378378,37,0.4427197802197802,1.0,0.0,Fear,34
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2099.019688,1225.1170212765958,47,0.4427197802197802,0.0,1.0,Fear,28
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,656.540742,2676.518153846154,65,0.4427197802197802,0.12307692307692308,0.8769230769230769,Fear,27
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,3326.2756603773582,53,0.4427197802197802,0.018867924528301886,0.9811320754716981,Extreme Fear,20
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,2184.328113207547,53,0.4427197802197802,0.018867924528301886,0.9811320754716981,Fear,34
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,4259.311481481482,27,0.4427197802197802,0.6296296296296297,0.37037037037037035,Neutral,45
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,1460.115,42,0.4427197802197802,1.0,0.0,Fear,44
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,580.479381443299,97,0.4427197802197802,0.0,1.0,Fear,26
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,730.8744516129032,155,0.4427197802197802,0.4645161290322581,0.535483870967742,Fear,34
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,0.0,54768.6,1,0.4427197802197802,1.0,0.0,Fear,25
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,16.37,1,0.4427197802197802,1.0,0.0,Fear,38
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-95.985744,780.4484090909092,88,0.4427197802197802,0.0,1.0,Fear,29
